"","Name","DriveAcc","DriveDist","Money","Score2","Putts","ApproachDist","PuttsMadeDist","ClubSpeed","OnePuttPerc","Score1"
"56","Sebastian Munoz","59.80","298.8","$946,666","69.91","28.96","168.2","4' 0""","117.42","37.65","70.15"
"57","Ryan Palmer","60.67","298.6","$2,873,316","70.00","28.89","165.2","4' 2""","117.69","40.64","68.89"
"58","Keegan Bradley","66.35","298.5","$1,902,797","70.54","29.54","164.2","3' 10""","112.59","35.28","69.75"
"59","Paul Casey","67.68","298.4","$4,257,040","69.67","29.29","164.7","3' 8""","115.65","35.80","69.94"
"60","Chesson Hadley","59.75","297.6","$1,405,632","71.04","29.05","157.9","4' 5""","114.34","36.24","70.14"
"61","Peter Uihlein","50.55","297.5","$842,991","70.60","28.85","160.7","4' 8""","124.17","39.86","70.04"
"62","Talor Gooch","58.68","297.4","$1,067,089","69.87","29.13","167.5","3' 12""","118.89","41.32","68.25"
"63","Corey Conners","66.92","297.3","$2,919,864","70.17","30.17","158.1","4' 3""","113.35","37.83","68.95"
"64","Cody Gribble","53.64","297.2","$248,317","71.45","28.82","160.3","4' 0""","113.38","37.65","70.89"
"65","Mackenzie Hughes","57.98","297.2","$1,022,081","70.33","28.80","164.3","3' 11""","113.92","40.20","71.00"
"66","Scott Stallings","58.97","297.0","$1,080,451","70.68","29.00","168.9","3' 6""","115.12","36.24","71.00"
"67","Cameron Tringale","60.53","296.9","$1,049,106","69.97","28.91","161.3","4' 1""","114.25","41.67","71.06"
"68","Patrick Reed","60.10","296.8","$3,593,844","69.76","28.47","161.4","4' 9""","117.18","40.97","69.81"
"69","Sangmoon Bae","61.49","296.5","$172,472","70.94","29.28","163.5","4' 3""","114.10","40.35","70.68"
"70","Dylan Frittelli","62.71","296.5","$1,576,974","70.02","29.09","165.6","4' 3""","111.98","38.27","69.78"
"71","Jim Knous","55.21","296.5","$490,976","71.06","29.55","160.4","4' 2""","116.29","36.55","70.21"
"72","Dominic Bozzelli","60.19","296.4","$668,449","69.97","28.33","166.6","4' 6""","114.73","44.44","68.54"
"73","Marc Leishman","59.39","296.2","$3,886,577","70.00","28.74","164.4","4' 5""","117.67","42.22","68.25"
"74","Bronson Burgoon","66.49","296.1","$814,673","70.64","29.60","156.7","3' 11""","110.08","38.24","70.18"
"75","Lucas Glover","66.14","296.1","$2,613,965","69.67","28.92","163.9","4' 2""","114.23","36.11","68.20"
"76","Sungjae Im","65.45","295.9","$2,851,134","69.58","28.55","164.2","4' 2""","117.31","38.19","69.03"
"77","Seamus Power","56.26","295.9","$773,976","71.24","28.94","161.1","4' 1""","117.26","37.13","72.42"
"78","Shawn Stefani","61.89","295.9","$798,831","70.05","29.28","166.4","4' 3""","118.51","39.42","70.86"
"79","Roger Sloan","61.83","295.8","$1,015,661","70.35","28.55","157.0","4' 7""","113.62","42.36","70.00"
"80","Emiliano Grillo","68.13","295.7","$1,752,114","70.56","29.78","168.1","3' 11""","113.51","35.71","69.46"
"81","Hunter Mahan","65.61","295.7","$287,579","71.05","29.54","160.7","3' 9""","115.06","36.24","70.29"
"82","Charley Hoffman","58.26","295.6","$1,468,855","71.21","29.37","166.6","3' 6""","114.03","34.81","72.00"
"83","Jordan Spieth","53.12","295.2","$2,124,192","70.15","27.71","166.5","4' 6""","112.18","47.69","69.75"
"84","Hudson Swafford","57.66","295.2","$545,191","70.70","29.18","165.4","4' 4""","117.51","39.07","69.53"
"85","Branden Grace","57.22","295.1","$1,373,185","71.18","29.69","169.6","2' 3""","117.36","26.59","71.86"
"86","Patton Kizzire","60.71","294.9","$995,341","70.76","28.58","163.3","4' 8""","113.37","42.80","69.96"
"87","Cameron Smith","59.36","294.2","$1,504,820","70.59","28.49","165.7","4' 1""","112.21","42.78","69.65"
"88","Matt Jones","62.17","294.1","$1,024,852","70.11","28.62","170.6","3' 11""","115.55","38.44","70.16"
"89","Wes Roach","65.95","294.1","$860,264","70.05","28.90","164.0","4' 1""","109.35","38.36","70.10"
"90","Hank Lebioda","65.64","294.0","$656,802","70.20","29.27","164.0","4' 8""","113.91","38.60","69.63"
"91","Joey Garber","62.52","293.9","$454,296","70.75","29.09","155.7","4' 6""","110.45","38.89","72.00"
"92","Sam Ryder","63.62","293.9","$1,060,735","69.92","28.64","164.9","4' 11""","114.99","41.27","69.18"
"93","J.T. Poston","62.89","293.8","$2,461,215","70.02","28.56","164.3","4' 3""","113.71","41.27","69.39"
"94","Danny Willett","59.57","293.8","$1,286,737","70.89","29.11","162.5","2' 11""","112.22","36.32","70.92"
"95","Stephan Jaeger","59.54","293.7","$623,145","70.30","28.70","166.3","4' 1""","113.39","41.56","70.08"
"96","Richy Werenski","61.26","293.6","$851,329","70.31","28.81","163.3","4' 1""","110.79","40.67","69.24"
"97","Bud Cauley","63.26","293.4","$1,090,018","69.83","28.52","165.8","4' 3""","111.70","42.86","69.43"
"98","Abraham Ancer","70.21","293.3","$2,688,625","70.00","28.81","165.6","3' 11""","112.26","42.52","68.65"
"99","Troy Merritt","66.43","293.3","$1,531,143","69.79","28.69","161.0","4' 1""","112.61","38.38","69.50"
"100","Anders Albertson","60.11","293.2","$449,226","70.69","29.48","163.1","4' 2""","113.46","36.11","69.04"
"101","Kiradech Aphibarnrat","63.25","292.4","$1,630,073","70.82","28.39","154.6","6' 5""","112.86","50.56","70.40"
"102","Joel Dahmen","68.51","292.4","$1,949,958","70.42","29.11","161.6","4' 9""","110.49","39.76","69.16"
"103","Si Woo Kim","62.95","292.4","$2,191,808","70.20","28.16","171.4","4' 6""","115.52","44.87","68.73"
"104","Scott Piercy","67.61","292.4","$2,679,915","69.51","28.76","159.1","3' 9""","114.01","39.44","68.93"
"105","Peter Malnati","54.62","292.2","$864,496","70.12","28.01","158.8","4' 1""","112.80","42.78","69.65"
"106","Nick Taylor","61.68","292.1","$892,663","70.03","28.84","160.6","4' 6""","112.50","41.90","70.00"
"107","Adam Long","66.51","292.0","$1,648,007","71.11","29.22","158.8","3' 12""","110.30","36.11","70.44"
"108","Josh Teater","63.50","292.0","$663,570","70.01","29.36","159.6","3' 5""","112.77","38.10","70.33"
"109","Julian Etulain","54.81","291.8","$360,653","70.86","28.72","159.1","5' 1""","111.02","40.83","70.10"
